department,count,b2024,b2025,b2026,talent_core,talent_partial
과학기술정보통신부,192,4347239.0,4917577.0,8803040.0,2131254.0,480356.0
중소벤처기업부,16,5398387.0,5084523.0,5908106.0,106431.0,0.0
산업통상부,51,2290268.0,2568860.0,3313764.0,718882.0,0.0
교육부,11,1940442.0,1574864.0,2155687.0,2145156.0,0.0
고용노동부,11,1648179.0,1638129.0,1563297.0,1491076.0,25345.0
기후에너지환경부,33,704558.0,692890.0,1124538.0,101428.0,0.0
금융위원회,3,5990.0,6981.0,1007045.0,0.0,0.0
국방부,7,512926.0,528396.0,586067.0,58427.0,0.0
보건복지부,20,112975.0,158400.0,438881.0,239770.0,0.0
해양수산부,27,229467.0,265962.0,358093.0,3700.0,0.0
국토교통부,40,183394.0,116996.0,340128.0,16549.0,0.0
행정안전부,12,177148.0,180042.0,220812.0,51140.0,51282.0
농림축산식품부,9,69615.0,79275.0,201563.0,0.0,0.0
산림청,10,96915.0,110945.0,184280.0,0.0,85377.0
법무부,5,150346.0,154022.0,156074.0,0.0,0.0
경찰청,11,127418.0,138483.0,153325.0,0.0,19620.0
문화체육관광부,12,98288.0,111269.0,144741.0,18602.0,0.0
우주항공청,4,98569.0,113217.0,127192.0,0.0,0.0
대법원,2,89155.0,106128.0,113797.0,0.0,0.0
국세청,3,100058.0,104629.0,103454.0,0.0,53930.0
관세청,1,77943.0,63638.0,63129.0,0.0,0.0
식품의약품안전처,6,20282.0,21606.0,52554.0,0.0,17739.0
농촌진흥청,8,24617.0,25453.0,50551.0,0.0,0.0
기상청,3,40882.0,48383.0,48881.0,0.0,0.0
해양경찰청,5,20073.0,26446.0,44981.0,0.0,0.0
질병관리청,4,26493.7,30111.0,38006.0,0.0,0.0
지식재산처,1,23495.0,26853.0,34698.0,0.0,0.0
방송미디어통신위원회,4,18744.0,20467.0,27978.0,16792.0,0.0
국가데이터처,5,23480.0,24331.0,26571.0,9090.0,0.0
기획예산처,1,21763.0,20770.0,22317.0,0.0,0.0
법제처,1,8435.0,8046.0,20771.0,0.0,20771.0
소방청,3,10463.0,15244.0,20515.0,1705.0,0.0
조달청,1,26298.0,18592.0,19859.0,0.0,0.0
병무청,1,7611.0,12918.0,16005.0,0.0,0.0
개인정보보호위원회,3,3328.0,5064.0,15254.0,0.0,6456.0
외교부,1,2569.0,13254.0,13962.0,0.0,0.0
감사원,1,12508.0,16111.0,10300.0,0.0,0.0
인사혁신처,2,10284.0,15272.0,9405.0,1918.0,0.0
국가유산청,1,0.0,0.0,4420.0,0.0,0.0
국민권익위원회,1,4653.0,3346.0,3895.0,0.0,0.0
방위사업청,1,0.0,0.0,627.0,0.0,0.0
