domain,count,b2024,b2025,b2026
교육/인재,78,6128515.0,5781879.0,7111920.0
데이터,132,2514955.0,2496992.0,5587980.0
R&D 지원,44,3540955.0,4113046.0,5294137.0
기타,20,3622640.0,3443244.0,3972540.0
디지털전환(AX),114,1844838.0,1952180.0,3394732.0
행정/전자정부,41,819190.0,881659.0,3105192.0
클라우드/컴퓨팅,22,409054.0,490857.0,2900087.0
제조/스마트팩토리,33,2613318.0,2464331.0,2839449.0
LLM/언어모델,29,86268.0,141348.0,2408525.0
금융,4,1514317.0,1318091.0,2088155.0
환경/기후,32,2310467.0,2099799.0,2074967.0
통신/네트워크,33,1303832.0,1387657.0,1820571.0
의료/바이오,66,813761.7,891427.0,1390910.0
에너지,19,1002724.0,1041942.0,1386662.0
로봇,35,655334.0,709484.0,1298210.0
보안/사이버,40,1197937.0,1144450.0,1218678.0
건설/스마트시티,26,667290.0,598659.0,802188.0
교통/모빌리티,30,597747.0,596819.0,768247.0
AI반도체,27,285701.0,438202.0,754922.0
피지컬AI/디바이스,33,126357.0,93036.0,668129.0
재난/안전,37,366938.0,358618.0,499129.0
법률/치안,25,344454.0,365853.0,409425.0
국방/안보,13,255971.0,278674.0,335543.0
해양/수산,26,134495.0,194960.0,311607.0
문화/콘텐츠,20,201235.0,185035.0,299555.0
농업/식품,21,127135.0,136390.0,285468.0
산림/생태,10,171857.0,180187.0,245065.0
우주/위성,7,113171.0,131501.0,148997.0
