parent_id,department,parent_name,sub_name,b2024,b2025,b2026
1,감사원,전산운영경비(정보화),감사자료분석시스템 구축ㆍ운영,1811.0,1781.0,2086.0
1,감사원,전산운영경비(정보화),OASYS 구축ㆍ운영,12822.0,12854.0,6504.0
1,감사원,전산운영경비(정보화),공공감사정보시스템 구축ㆍ운영,296.0,540.0,647.0
1,감사원,전산운영경비(정보화),사이버보안센터 구축운영,936.0,936.0,1063.0
2,개인정보보호위원회,개인정보 안전활용 선도기술 개발(R&D),원본데이터 안전활용 기술,,,4560.0
2,개인정보보호위원회,개인정보 안전활용 선도기술 개발(R&D),AI프라이버시 리스크대응기술 개발,,,1344.0
2,개인정보보호위원회,개인정보 안전활용 선도기술 개발(R&D),기평비,,,234.0
3,개인정보보호위원회,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),AI 대응개인정보보호강화기술개발,,1440.0,2560.0
3,개인정보보호위원회,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),기평비,,60.0,100.0
4,개인정보보호위원회,안전한 데이터 활용 지원,가명정보 제도운영,314.0,314.0,314.0
4,개인정보보호위원회,안전한 데이터 활용 지원,가명정보 활용 지원 인프라 운영,2614.0,2214.0,5742.0
4,개인정보보호위원회,안전한 데이터 활용 지원,가명정보 활용지원 시스템 운영,400.0,1036.0,400.0
5,경찰청,112시스템운영(정보화),112시스템운영,,19471.0,21370.9
5,경찰청,112시스템운영(정보화),(정보화),,,1.1
6,경찰청,경찰정보화기반고도화(정보화),경찰정보화기반고도화,,62509.0,78332.7
6,경찰청,경찰정보화기반고도화(정보화),(정보화),,,1.3
7,경찰청,과학기술 기반 군중밀집 관리 기술 개발(R&D),과학기술기반군중,1092.0,1976.0,1974.0
7,경찰청,과학기술 기반 군중밀집 관리 기술 개발(R&D),밀집관리기술개발,,,1.0
7,경찰청,과학기술 기반 군중밀집 관리 기술 개발(R&D),(R&D),,,1.0
8,경찰청,과학수사시스템구축(정보화),과학수사시스템구축,,10353.0,4126.0
9,경찰청,과학적 범죄수사 고도화 기술 개발(R&D),과학적범죄수사,7476.0,3068.0,32.3
9,경찰청,과학적 범죄수사 고도화 기술 개발(R&D),고도화기술개발,,,
9,경찰청,과학적 범죄수사 고도화 기술 개발(R&D),(R&D),,,
10,경찰청,불법 마약류 대응을 위한 현장기술 개발(R&D),불법마약류대응을,500.0,4932.0,222.8
10,경찰청,불법 마약류 대응을 위한 현장기술 개발(R&D),위한현장기술개발,,,1604.6
10,경찰청,불법 마약류 대응을 위한 현장기술 개발(R&D),(R&D),,,1604.6
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),사이버범죄수사,,6136.0,68.6
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),단서통합분석및,,,809.1
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),추론시스템개발,,,809.1
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),(R&D),,,809.1
12,경찰청,사이버수사 지원기술 개발(R&D),사이버수사,1897.0,8736.0,3431.2
12,경찰청,사이버수사 지원기술 개발(R&D),지원기술개발,,,0.4
12,경찰청,사이버수사 지원기술 개발(R&D),(R&D),,,0.4
13,경찰청,차세대지능형순찰플랫폼개발(R&D),차세대지능형순찰,,3465.0,400.7
13,경찰청,차세대지능형순찰플랫폼개발(R&D),플랫폼개발,,,1186.2
13,경찰청,차세대지능형순찰플랫폼개발(R&D),(R&D),,,1186.2
14,경찰청,치안데이터활용기술개발(R&D),치안데이터,,1560.0,1558.0
14,경찰청,치안데이터활용기술개발(R&D),활용기술개발,,,1.0
14,경찰청,치안데이터활용기술개발(R&D),(R&D),,,1.0
15,경찰청,형사･교통･여성청소년범죄 수사역량강화,형사･교통･여성,,24120.0,19618.4
15,경찰청,형사･교통･여성청소년범죄 수사역량강화,청소년범죄,,,0.8
15,경찰청,형사･교통･여성청소년범죄 수사역량강화,수사역량강화,,,0.8
16,고용노동부,고용노동행정(정보화),고용노동행정(정보화),22378.0,23739.0,2038.0
17,고용노동부,내일배움카드(고보),일반직종훈련,331239.0,332890.0,266039.0
17,고용노동부,내일배움카드(고보),국가기간‧전략산업,325960.0,205160.0,159995.0
17,고용노동부,내일배움카드(고보),직종훈련,75960.0,64103.0,82122.0
17,고용노동부,내일배움카드(고보),산업구조변화대응,1045.0,1045.0,823.0
17,고용노동부,내일배움카드(고보),등 특화훈련,,,
18,고용노동부,내일배움카드(일반),K-하이테크 플러스사업,,498116.0,20000.0
18,고용노동부,내일배움카드(일반),돌봄서비스 훈련,35000.0,33100.0,29440.0
18,고용노동부,내일배움카드(일반),일반고 특화훈련,49230.0,45557.0,55383.0
18,고용노동부,내일배움카드(일반),평생크레딧,25000.0,,430439.6
18,고용노동부,내일배움카드(일반),플랫폼 종사자 특화훈련,4447.0,,76566.6
18,고용노동부,내일배움카드(일반),신기술 인력수급 분석 지원,1000.0,900.0,15495.8
19,고용노동부,노동위원회정보화운영(정보화),정보시스템 운영유지보수,539.0,539.0,665.0
19,고용노동부,노동위원회정보화운영(정보화),정보시스템 기능개선,311.0,,
19,고용노동부,노동위원회정보화운영(정보화),원격영상심문회의시스템구축,413.0,506.0,506.0
19,고용노동부,노동위원회정보화운영(정보화),정보화전략계획수립,235.0,,
19,고용노동부,노동위원회정보화운영(정보화),디지털노동위원회 구축,,6231.0,1788.0
20,고용노동부,디지털 기반의 고용서비스 인프라 지원(정보화),고용24 대민포털운영 및 유지관리,1562.0,1671.0,2712.0
20,고용노동부,디지털 기반의 고용서비스 인프라 지원(정보화),고용행정 통합포털운영 및 유지관리,1406.0,1354.0,1484.0
20,고용노동부,디지털 기반의 고용서비스 인프라 지원(정보화),디지털 고용서비스운영지원,2746.0,3022.0,3327.0
21,고용노동부,미래환경변화 대응 산업안전보건 연구개발(R&D),산재 예방·대응,,,777.0
21,고용노동부,미래환경변화 대응 산업안전보건 연구개발(R&D),지원체계 구축,,,777.0
22,고용노동부,사업주직업훈련지원금,일반훈련,321584.0,195424.0,210237.0
22,고용노동부,사업주직업훈련지원금,혁신형 기업훈련,,51867.0,2583.5
22,고용노동부,사업주직업훈련지원금,현장맞춤형체계적훈련,27271.0,32706.0,35899.0
22,고용노동부,사업주직업훈련지원금,지역산업맞춤형훈련,19203.0,19041.0,948.5
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),국가일자리정보플랫폼 운영 및 유지관리,2047.0,2136.0,2136.0
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),AI서비스 운영 및 유지관리,599.0,617.0,5356.0
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),온톨로지센터 운영및 유지관리,1411.0,1411.0,1411.0
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),일자리정보플랫폼운영지원,4159.0,3343.0,2198.0
24,고용노동부,직업능력개발담당자양성 및 훈련매체개발,직업훈련교원 및HRD담당자양성,22795.0,23207.0,23527.0
24,고용노동부,직업능력개발담당자양성 및 훈련매체개발,직업훈련교원재·향상연수,23645.0,23690.0,27980.0
24,고용노동부,직업능력개발담당자양성 및 훈련매체개발,평생능력개발온라인훈련사업,28698.0,28881.0,30573.0
25,고용노동부,직업능력개발심사평가,훈련기관평가,2844.0,3140.0,3000.0
25,고용노동부,직업능력개발심사평가,훈련과정심사,3500.0,3500.0,3640.0
25,고용노동부,직업능력개발심사평가,훈련과정평가,2145.0,2145.0,2145.0
25,고용노동부,직업능력개발심사평가,미래형 직업훈련전환 지원,1350.0,1350.0,1350.0
25,고용노동부,직업능력개발심사평가,직업훈련 모니터링,900.0,590.0,660.0
25,고용노동부,직업능력개발심사평가,부정훈련관리,60.0,210.0,140.0
25,고용노동부,직업능력개발심사평가,첨단·전략분야 인력양성,,327.0,327.0
25,고용노동부,직업능력개발심사평가,"국민내일배움카드 AI 심사평가 도입(신규,한시)",,,1870.0
25,고용노동부,직업능력개발심사평가,"원격훈련 콘텐츠 심사 및 과정적정성 심사 AI 도입 효율화(신규,한시)",,,8742.0
26,고용노동부,취약노동자지원,취약노동자 참여·소통 활성화 지원,,4446.0,2248.0
26,고용노동부,취약노동자지원,현장밀착형 취약노동자 권익 보호,,,1325.0
26,고용노동부,취약노동자지원,노무제공자 미수금회수 지원,,,200.0
26,고용노동부,취약노동자지원,취약노동자 일터개선 지원,,2063.0,2500.0
26,고용노동부,취약노동자지원,취약노동자 상생복지지원,,6632.0,
26,고용노동부,취약노동자지원,취약노동자 보호,,2848.0,3292.0
26,고용노동부,취약노동자지원,노동단체 및 노사관계 비영리법인 지원,,,15780.0
27,과학기술정보통신부,4대지역외 AX 대전환 기획,"5극, 충남권 AX 대전환",,,1000.0
27,과학기술정보통신부,4대지역외 AX 대전환 기획,"3특, 강원권 등AX 대전환",,,1500.0
28,과학기술정보통신부,AGI 준비 프로젝트,AGI 준비 프로젝트,,,20000.0
29,과학기술정보통신부,AI AGENT 선도 국가 사업,AI AGENT 인프라및 생태계 조성,,,10000.0
29,과학기술정보통신부,AI AGENT 선도 국가 사업,AI AGENT 융합･확산 지원,,,10000.0
30,과학기술정보통신부,AI 공간 컴퓨팅 창업 생태계 활성화,로봇 기반 공간컴퓨팅 창업지원,,,1500.0
31,과학기술정보통신부,AI 기반 뇌발달질환 디지털의료기기 실증지원,AI기반 뇌발달질환디지털의료기기 실증지원,5000.0,5000.0,5000.0
32,과학기술정보통신부,AI 기반 민군 유·무인복합체계 주파수 공동사용 및 운용 기술 개발,AI기반 민군 유·무인복합체계 주파수 공동사용 및 운용 기술 개발,,,2800.0
33,과학기술정보통신부,AI 기반 주파수 간섭분석 및 전파 예측기술 개발(R&D),AI 기반 차세대 주파수 간섭분석 기술 개발,,1000.0,1920.0
