id,department,project_name,category,in_edu_domain,ai_domains,is_rnd,b2024,b2025,b2026,corrected,correction_note,talent_note
223,교육부,국립대학육성사업,core,True,교육/인재,False,572200.0,424300.0,873550.0,False,,"AI 거점대학 내역사업으로 AI/AI+X 학사·석박사 인재 양성, 융합 인재양성"
18,고용노동부,내일배움카드(일반),core,True,교육/인재,False,577838.0,580161.0,627325.0,False,,K-하이테크 플러스(첨단산업·디지털 핵심 실무인재 양성훈련) 등 직업훈련비 지원
220,교육부,4단계 두뇌한국21 사업,core,True,교육/인재,False,524684.0,522478.0,541546.0,False,,"학문후속세대 양성·대학원 교육 내실화, 이공 우수인재 성장경로 지원(장학금)"
17,고용노동부,내일배움카드(고보),core,True,교육/인재,False,571022.0,603198.0,508979.0,False,,실업자·근로자 직업능력개발훈련(일반직종·국가기간전략산업직종) 비용 지원
229,교육부,한국장학재단 출연,core,True,교육/인재,False,367382.0,407913.0,421041.0,False,,학자금대출·국가장학제도 운영(장학 성격)
428,산업통상부,산업단지환경조성,core,True,데이터;에너지;교육/인재;제조/스마트팩토리;통신/네트워크;건설/스마트시티;디지털전환(AX),False,397197.0,331378.0,409920.0,False,,"스마트그린산단 공통기본사업에 '스마트제조고급인력 양성'(스마트제조 특화 학부·대학원 운영, 교육혁신 산학모델) 포함, 제조 AX 산학혁신파크에 '제조데이터 전문가 육성' 포함"
98,과학기술정보통신부,국가과학기술연구회 연구 운영비 지원(R&D),core,True,R&D 지원,True,194792.0,247439.0,360849.0,False,,"PDF: '(출연(연) 인재생태계조성사업) 우수인재가 출연(연)에 유입되어 지속 성장·정착할 수 있는 선순환적 전주기 통합 인재생태계 조성', 2026 예산 14,880백만원(미래인재 양성 8,760 + 인재혁신 지원 6,120), 별도 '출연(연) 맞춤형 인력양성사업'도 명시."
198,과학기술정보통신부,한국과학기술원 연구 운영비 지원(R&D),core,True,R&D 지원,True,207269.0,218356.0,297077.0,False,,"KAIST 기관운영·연구비 사업이나 2026년 신규·계속 내역 중 AI 국가대표 양성(InnoCORE) 52,500백만원, AI 전사양성사업 4,450백만원, 창의적 인재양성 특성화교육 15,371백만원 등 총 297,077 중 약 20%가 명시적 인재양성 사업. 1971년 설립 근거 자체가 '고급과학기술 인력양성'."
226,교육부,산학연협력 고도화 지원,core,True,교육/인재,False,440375.0,182700.0,262461.0,False,,첨단산업 인재양성 부트캠프·특성화대학·인턴십 등 인재양성이 사업 핵심
22,고용노동부,사업주직업훈련지원금,core,True,교육/인재,False,368023.0,300670.0,249668.0,False,,사업주가 실시하는 재직근로자·채용예정자 직업능력개발훈련 비용 지원
379,보건복지부,바이오헬스산업 육성 지원,core,True,의료/바이오;교육/인재,False,67720.0,68500.0,233770.0,False,,"내역사업 '바이오헬스산업 전문인력 양성'(’26년 21,508백만원) 포함"
431,산업통상부,산업혁신인재성장지원(R&D),core,True,교육/인재,True,157479.0,166145.0,201395.0,False,,내역사업 '교육훈련'(석·박사 산업혁신인재 양성)이 사업의 핵심
208,과학기술정보통신부,한국원자력연구원 연구 운영비 지원(R&D),core,True,R&D 지원,True,140717.0,154061.0,171326.0,False,,"내역사업 '원자력 인재육성·정책 및 글로벌협력 지원'에 '국내·외 원자력 교육과정 개발 및 운영을 통한 글로벌 원자력 전문 인재육성'이 명시. 다만 사업 전체(171,326)에서 차지하는 비중은 제한적."
172,과학기술정보통신부,정보통신방송혁신인재양성(R&D),core,True,AI반도체;교육/인재;통신/네트워크,True,105410.0,130400.0,144742.0,False,,인공지능핵심인재양성·융합보안핵심인재양성·AI반도체 고급인재양성 등 교육훈련이 사업 본체
154,과학기술정보통신부,울산과학기술원 연구 운영비 지원(R&D),core,True,R&D 지원,True,85922.0,90160.0,126289.0,False,,"과기원 학사사업비(20,042백만원) 포함 고급과학기술인재 양성이 설립목적이며, AI 국가대표 양성(InnoCORE)·AI 전사양성사업·AI대학원·AI 인재양성 등 명시. 대학지원+인재양성 성격 확정"
93,과학기술정보통신부,광주과학기술원 연구 운영비 지원(R&D),core,True,R&D 지원,True,93124.0,97634.0,120610.0,False,,"PDF: 사업목적 '첨단 과학기술의 혁신을 선도할 고급 과학기술인재 양성', '인재양성 및 연구개발을 통한 국가 과학기술 발전'; 내역 학사사업비 23,852백만원, AI 국가대표 양성사업, AI 전사 양성사업(AI거점대학 프로그램), '25 추경 사유가 'AI 해외인재 유출 방지 및 인재양성을 위한 AI국가대표양성 3,750백만원'."
42,과학기술정보통신부,AI·SW 중심대학,core,True,교육/인재,False,,,117960.0,False,,"대학 교육체계 AI·SW 혁신, 핵심·융합인재 양성 사업(SW융합인력양성 단위사업)"
107,과학기술정보통신부,대구경북과학기술원 연구 운영비지원(R&D),core,True,R&D 지원,True,88701.0,97697.0,116367.0,False,,"PDF: 사업목적 '고급과학기술인재 양성 및 기초·응용과학 연구수행 등 기관 고유목적 달성을 위한 교육·연구 사업비'; 'AI국가대표양성(InnoCORE) 13,125백만원 — 박사후연수연구원 중심 국내 포닥 양성 생태계 선도', 'AI 전사 양성사업 1,610백만원 — 학부생 대상 AI+X 특화교육으로 Global-Standard AI 인재 양성'; '25 추경 사유도 InnoCORE 3,750백만원."
480,중소벤처기업부,창업성공패키지,core,True,교육/인재,False,97368.0,100031.0,106431.0,False,,"내역사업 '스타트업 AI 기술인력양성'(3,900) 및 청년창업사관학교 교육 프로그램 운영"
126,과학기술정보통신부,디지털전문·융합인재양성,core,True,교육/인재;문화/콘텐츠;디지털전환(AX),False,81858.0,50752.0,91188.0,False,,SW아카데미·이노베이션아카데미·AI·SW마에스트로 등 AI·SW 전문인재 양성이 사업 전체
24,고용노동부,직업능력개발담당자양성 및 훈련매체개발,core,True,교육/인재,False,75138.0,75778.0,82080.0,False,,"직업훈련교원·HRD담당자 양성 및 재·향상연수, 평생능력개발 온라인훈련"
